Image,Label
data\train\0.jpg,4
data\train\1.jpg,3
data\train\10.jpg,0
data\train\100.jpg,4
data\train\1000.jpg,2
data\train\1001.jpg,4
data\train\1002.jpg,2
data\train\1003.jpg,3
data\train\1004.jpg,4
data\train\1005.jpg,3
data\train\1006.jpg,0
data\train\1007.jpg,4
data\train\1008.jpg,1
data\train\1009.jpg,0
data\train\101.jpg,2
data\train\1010.jpg,4
data\train\1011.jpg,2
data\train\1012.jpg,2
data\train\1013.jpg,0
data\train\1014.jpg,1
data\train\1015.jpg,2
data\train\1016.jpg,2
data\train\1017.jpg,1
data\train\1018.jpg,0
data\train\1019.jpg,4
data\train\102.jpg,4
data\train\1020.jpg,4
data\train\1021.jpg,0
data\train\1022.jpg,0
data\train\1023.jpg,1
data\train\1024.jpg,4
data\train\1025.jpg,2
data\train\1026.jpg,2
data\train\1027.jpg,1
data\train\1028.jpg,0
data\train\1029.jpg,0
data\train\103.jpg,1
data\train\1030.jpg,4
data\train\1031.jpg,4
data\train\1032.jpg,0
data\train\1033.jpg,0
data\train\1034.jpg,4
data\train\1035.jpg,4
data\train\1036.jpg,1
data\train\1037.jpg,3
data\train\1038.jpg,4
data\train\1039.jpg,4
data\train\104.jpg,3
data\train\1040.jpg,4
data\train\1041.jpg,2
data\train\1042.jpg,4
data\train\1043.jpg,4
data\train\1044.jpg,2
data\train\1045.jpg,3
data\train\1046.jpg,2
data\train\1047.jpg,3
data\train\1048.jpg,4
data\train\1049.jpg,3
data\train\105.jpg,2
data\train\1050.jpg,4
data\train\1051.jpg,3
data\train\1052.jpg,2
data\train\1053.jpg,1
data\train\1054.jpg,3
data\train\1055.jpg,1
data\train\1056.jpg,1
data\train\1057.jpg,2
data\train\1058.jpg,0
data\train\1059.jpg,3
data\train\106.jpg,2
data\train\1060.jpg,0
data\train\1061.jpg,4
data\train\1062.jpg,1
data\train\1063.jpg,2
data\train\1064.jpg,0
data\train\1065.jpg,0
data\train\1066.jpg,1
data\train\1067.jpg,2
data\train\1068.jpg,3
data\train\1069.jpg,3
data\train\107.jpg,0
data\train\1070.jpg,3
data\train\1071.jpg,3
data\train\1072.jpg,1
data\train\1073.jpg,4
data\train\1074.jpg,1
data\train\1075.jpg,1
data\train\1076.jpg,2
data\train\1077.jpg,1
data\train\1078.jpg,2
data\train\1079.jpg,4
data\train\108.jpg,1
data\train\1080.jpg,3
data\train\1081.jpg,1
data\train\1082.jpg,0
data\train\1083.jpg,2
data\train\1084.jpg,2
data\train\1085.jpg,4
data\train\1086.jpg,0
data\train\1087.jpg,2
data\train\1088.jpg,2
data\train\1089.jpg,2
data\train\109.jpg,1
data\train\1090.jpg,2
data\train\1091.jpg,4
data\train\1092.jpg,3
data\train\1093.jpg,3
data\train\1094.jpg,1
data\train\1095.jpg,1
data\train\1096.jpg,1
data\train\1097.jpg,1
data\train\1098.jpg,1
data\train\1099.jpg,2
data\train\11.jpg,0
data\train\110.jpg,0
data\train\1100.jpg,3
data\train\1101.jpg,1
data\train\1102.jpg,0
data\train\1103.jpg,0
data\train\1104.jpg,1
data\train\1105.jpg,3
data\train\1106.jpg,4
data\train\1107.jpg,2
data\train\1108.jpg,4
data\train\1109.jpg,2
data\train\111.jpg,4
data\train\1110.jpg,2
data\train\1111.jpg,3
data\train\1112.jpg,0
data\train\1113.jpg,3
data\train\1114.jpg,1
data\train\1115.jpg,3
data\train\1116.jpg,1
data\train\1117.jpg,1
data\train\1118.jpg,3
data\train\1119.jpg,1
data\train\112.jpg,4
data\train\1120.jpg,3
data\train\1121.jpg,0
data\train\1122.jpg,4
data\train\1123.jpg,0
data\train\1124.jpg,0
data\train\1125.jpg,1
data\train\1126.jpg,4
data\train\1127.jpg,3
data\train\1128.jpg,1
data\train\1129.jpg,3
data\train\113.jpg,0
data\train\1130.jpg,3
data\train\1131.jpg,2
data\train\1132.jpg,2
data\train\1133.jpg,2
data\train\1134.jpg,0
data\train\1135.jpg,1
data\train\1136.jpg,0
data\train\1137.jpg,2
data\train\1138.jpg,3
data\train\1139.jpg,0
data\train\114.jpg,0
data\train\1140.jpg,1
data\train\1141.jpg,3
data\train\1142.jpg,4
data\train\1143.jpg,1
data\train\1144.jpg,0
data\train\1145.jpg,1
data\train\1146.jpg,1
data\train\1147.jpg,3
data\train\1148.jpg,3
data\train\1149.jpg,4
data\train\115.jpg,4
data\train\1150.jpg,1
data\train\1151.jpg,3
data\train\1152.jpg,2
data\train\1153.jpg,4
data\train\1154.jpg,0
data\train\1155.jpg,2
data\train\1156.jpg,0
data\train\1157.jpg,2
data\train\1158.jpg,3
data\train\1159.jpg,1
data\train\116.jpg,0
data\train\1160.jpg,2
data\train\1161.jpg,1
data\train\1162.jpg,0
data\train\1163.jpg,4
data\train\1164.jpg,0
data\train\1165.jpg,1
data\train\1166.jpg,1
data\train\1167.jpg,3
data\train\1168.jpg,0
data\train\1169.jpg,0
data\train\117.jpg,2
data\train\1170.jpg,2
data\train\1171.jpg,1
data\train\1172.jpg,2
data\train\1173.jpg,0
data\train\1174.jpg,3
data\train\1175.jpg,3
data\train\1176.jpg,2
data\train\1177.jpg,0
data\train\1178.jpg,4
data\train\1179.jpg,2
data\train\118.jpg,3
data\train\1180.jpg,0
data\train\1181.jpg,0
data\train\1182.jpg,0
data\train\1183.jpg,3
data\train\1184.jpg,1
data\train\1185.jpg,4
data\train\1186.jpg,1
data\train\1187.jpg,1
data\train\1188.jpg,4
data\train\1189.jpg,3
data\train\119.jpg,1
data\train\1190.jpg,4
data\train\1191.jpg,3
data\train\1192.jpg,1
data\train\1193.jpg,1
data\train\1194.jpg,4
data\train\1195.jpg,0
data\train\1196.jpg,4
data\train\1197.jpg,0
data\train\1198.jpg,3
data\train\1199.jpg,2
data\train\12.jpg,1
data\train\120.jpg,1
data\train\1200.jpg,0
data\train\1201.jpg,1
data\train\1202.jpg,2
data\train\1203.jpg,2
data\train\1204.jpg,4
data\train\1205.jpg,1
data\train\1206.jpg,2
data\train\1207.jpg,3
data\train\1208.jpg,4
data\train\1209.jpg,1
data\train\121.jpg,3
data\train\1210.jpg,4
data\train\1211.jpg,3
data\train\1212.jpg,1
data\train\1213.jpg,3
data\train\1214.jpg,4
data\train\1215.jpg,0
data\train\1216.jpg,3
data\train\1217.jpg,2
data\train\1218.jpg,0
data\train\1219.jpg,0
data\train\122.jpg,4
data\train\1220.jpg,0
data\train\1221.jpg,3
data\train\1222.jpg,4
data\train\1223.jpg,0
data\train\1224.jpg,4
data\train\1225.jpg,3
data\train\1226.jpg,3
data\train\1227.jpg,1
data\train\1228.jpg,0
data\train\1229.jpg,0
data\train\123.jpg,0
data\train\1230.jpg,2
data\train\1231.jpg,0
data\train\1232.jpg,1
data\train\1233.jpg,2
data\train\1234.jpg,0
data\train\1235.jpg,2
data\train\1236.jpg,2
data\train\1237.jpg,2
data\train\1238.jpg,2
data\train\1239.jpg,4
data\train\124.jpg,1
data\train\1240.jpg,3
data\train\1241.jpg,0
data\train\1242.jpg,2
data\train\1243.jpg,1
data\train\1244.jpg,0
data\train\1245.jpg,2
data\train\1246.jpg,4
data\train\1247.jpg,4
data\train\1248.jpg,1
data\train\1249.jpg,0
data\train\125.jpg,0
data\train\1250.jpg,3
data\train\1251.jpg,1
data\train\1252.jpg,4
data\train\1253.jpg,2
data\train\1254.jpg,0
data\train\1255.jpg,0
data\train\1256.jpg,0
data\train\1257.jpg,3
data\train\1258.jpg,1
data\train\1259.jpg,2
data\train\126.jpg,0
data\train\1260.jpg,1
data\train\1261.jpg,1
data\train\1262.jpg,3
data\train\1263.jpg,1
data\train\1264.jpg,4
data\train\1265.jpg,3
data\train\1266.jpg,2
data\train\1267.jpg,2
data\train\1268.jpg,4
data\train\1269.jpg,3
data\train\127.jpg,2
data\train\1270.jpg,3
data\train\1271.jpg,0
data\train\1272.jpg,0
data\train\1273.jpg,2
data\train\1274.jpg,3
data\train\1275.jpg,2
data\train\1276.jpg,1
data\train\1277.jpg,1
data\train\1278.jpg,2
data\train\1279.jpg,1
data\train\128.jpg,3
data\train\1280.jpg,1
data\train\1281.jpg,3
data\train\1282.jpg,4
data\train\1283.jpg,1
data\train\1284.jpg,1
data\train\1285.jpg,4
data\train\1286.jpg,1
data\train\1287.jpg,2
data\train\1288.jpg,0
data\train\1289.jpg,3
data\train\129.jpg,3
data\train\1290.jpg,2
data\train\1291.jpg,1
data\train\1292.jpg,2
data\train\1293.jpg,3
data\train\1294.jpg,1
data\train\1295.jpg,0
data\train\1296.jpg,1
data\train\1297.jpg,4
data\train\1298.jpg,1
data\train\1299.jpg,4
data\train\13.jpg,1
data\train\130.jpg,4
data\train\1300.jpg,4
data\train\1301.jpg,2
data\train\1302.jpg,4
data\train\1303.jpg,4
data\train\1304.jpg,4
data\train\1305.jpg,0
data\train\1306.jpg,0
data\train\1307.jpg,4
data\train\1308.jpg,3
data\train\1309.jpg,4
data\train\131.jpg,0
data\train\1310.jpg,2
data\train\1311.jpg,2
data\train\1312.jpg,4
data\train\1313.jpg,3
data\train\1314.jpg,1
data\train\1315.jpg,2
data\train\1316.jpg,2
data\train\1317.jpg,1
data\train\1318.jpg,1
data\train\1319.jpg,4
data\train\132.jpg,2
data\train\1320.jpg,3
data\train\1321.jpg,3
data\train\1322.jpg,0
data\train\1323.jpg,0
data\train\1324.jpg,1
data\train\1325.jpg,2
data\train\1326.jpg,3
data\train\1327.jpg,0
data\train\1328.jpg,0
data\train\1329.jpg,3
data\train\133.jpg,4
data\train\1330.jpg,4
data\train\1331.jpg,2
data\train\1332.jpg,2
data\train\1333.jpg,1
data\train\1334.jpg,1
data\train\1335.jpg,4
data\train\1336.jpg,3
data\train\1337.jpg,1
data\train\1338.jpg,3
data\train\1339.jpg,1
data\train\134.jpg,2
data\train\1340.jpg,0
data\train\1341.jpg,3
data\train\1342.jpg,3
data\train\1343.jpg,3
data\train\1344.jpg,4
data\train\1345.jpg,0
data\train\1346.jpg,2
data\train\1347.jpg,1
data\train\1348.jpg,3
data\train\1349.jpg,4
data\train\135.jpg,0
data\train\1350.jpg,0
data\train\1351.jpg,0
data\train\1352.jpg,4
data\train\1353.jpg,4
data\train\1354.jpg,1
data\train\1355.jpg,4
data\train\1356.jpg,1
data\train\1357.jpg,3
data\train\1358.jpg,2
data\train\1359.jpg,0
data\train\136.jpg,1
data\train\1360.jpg,3
data\train\1361.jpg,1
data\train\1362.jpg,1
data\train\1363.jpg,0
data\train\1364.jpg,1
data\train\1365.jpg,0
data\train\1366.jpg,4
data\train\1367.jpg,4
data\train\1368.jpg,1
data\train\1369.jpg,0
data\train\137.jpg,1
data\train\1370.jpg,0
data\train\1371.jpg,0
data\train\1372.jpg,2
data\train\1373.jpg,3
data\train\1374.jpg,4
data\train\1375.jpg,1
data\train\1376.jpg,4
data\train\1377.jpg,0
data\train\1378.jpg,3
data\train\1379.jpg,2
data\train\138.jpg,0
data\train\1380.jpg,4
data\train\1381.jpg,1
data\train\1382.jpg,4
data\train\1383.jpg,1
data\train\1384.jpg,2
data\train\1385.jpg,3
data\train\1386.jpg,4
data\train\1387.jpg,3
data\train\1388.jpg,4
data\train\1389.jpg,1
data\train\139.jpg,4
data\train\1390.jpg,3
data\train\1391.jpg,0
data\train\1392.jpg,0
data\train\1393.jpg,0
data\train\1394.jpg,0
data\train\1395.jpg,0
data\train\1396.jpg,4
data\train\1397.jpg,1
data\train\1398.jpg,0
data\train\1399.jpg,1
data\train\14.jpg,4
data\train\140.jpg,0
data\train\1400.jpg,0
data\train\1401.jpg,4
data\train\1402.jpg,2
data\train\1403.jpg,2
data\train\1404.jpg,0
data\train\1405.jpg,1
data\train\1406.jpg,2
data\train\1407.jpg,4
data\train\1408.jpg,3
data\train\1409.jpg,3
data\train\141.jpg,0
data\train\1410.jpg,4
data\train\1411.jpg,0
data\train\1412.jpg,4
data\train\1413.jpg,0
data\train\1414.jpg,0
data\train\1415.jpg,2
data\train\1416.jpg,0
data\train\1417.jpg,0
data\train\1418.jpg,4
data\train\1419.jpg,1
data\train\142.jpg,0
data\train\1420.jpg,0
data\train\1421.jpg,3
data\train\1422.jpg,2
data\train\1423.jpg,1
data\train\1424.jpg,2
data\train\1425.jpg,0
data\train\1426.jpg,1
data\train\1427.jpg,2
data\train\1428.jpg,1
data\train\1429.jpg,1
data\train\143.jpg,1
data\train\1430.jpg,3
data\train\1431.jpg,1
data\train\1432.jpg,2
data\train\1433.jpg,3
data\train\1434.jpg,4
data\train\1435.jpg,2
data\train\1436.jpg,2
data\train\1437.jpg,0
data\train\1438.jpg,1
data\train\1439.jpg,3
data\train\144.jpg,3
data\train\1440.jpg,0
data\train\1441.jpg,1
data\train\1442.jpg,0
data\train\1443.jpg,0
data\train\1444.jpg,4
data\train\1445.jpg,1
data\train\1446.jpg,1
data\train\1447.jpg,1
data\train\1448.jpg,0
data\train\1449.jpg,3
data\train\145.jpg,2
data\train\1450.jpg,3
data\train\1451.jpg,0
data\train\1452.jpg,4
data\train\1453.jpg,2
data\train\1454.jpg,0
data\train\1455.jpg,2
data\train\1456.jpg,2
data\train\1457.jpg,3
data\train\1458.jpg,1
data\train\1459.jpg,2
data\train\146.jpg,3
data\train\1460.jpg,0
data\train\1461.jpg,2
data\train\1462.jpg,2
data\train\1463.jpg,3
data\train\1464.jpg,3
data\train\1465.jpg,0
data\train\1466.jpg,0
data\train\1467.jpg,1
data\train\1468.jpg,0
data\train\1469.jpg,4
data\train\147.jpg,1
data\train\1470.jpg,3
data\train\1471.jpg,4
data\train\1472.jpg,1
data\train\1473.jpg,0
data\train\1474.jpg,4
data\train\1475.jpg,0
data\train\1476.jpg,0
data\train\1477.jpg,3
data\train\1478.jpg,2
data\train\1479.jpg,3
data\train\148.jpg,1
data\train\1480.jpg,3
data\train\1481.jpg,0
data\train\1482.jpg,1
data\train\1483.jpg,2
data\train\1484.jpg,2
data\train\1485.jpg,4
data\train\1486.jpg,1
data\train\1487.jpg,2
data\train\1488.jpg,0
data\train\1489.jpg,3
data\train\149.jpg,2
data\train\1490.jpg,4
data\train\1491.jpg,0
data\train\1492.jpg,3
data\train\1493.jpg,4
data\train\1494.jpg,4
data\train\1495.jpg,3
data\train\1496.jpg,2
data\train\1497.jpg,4
data\train\1498.jpg,2
data\train\1499.jpg,4
data\train\15.jpg,1
data\train\150.jpg,0
data\train\1500.jpg,1
data\train\1501.jpg,4
data\train\1502.jpg,2
data\train\1503.jpg,0
data\train\1504.jpg,0
data\train\1505.jpg,1
data\train\1506.jpg,0
data\train\1507.jpg,4
data\train\1508.jpg,3
data\train\1509.jpg,2
data\train\151.jpg,3
data\train\1510.jpg,4
data\train\1511.jpg,1
data\train\1512.jpg,1
data\train\1513.jpg,2
data\train\1514.jpg,4
data\train\1515.jpg,0
data\train\1516.jpg,3
data\train\1517.jpg,3
data\train\1518.jpg,2
data\train\1519.jpg,4
data\train\152.jpg,4
data\train\1520.jpg,1
data\train\1521.jpg,3
data\train\1522.jpg,2
data\train\1523.jpg,0
data\train\1524.jpg,3
data\train\1525.jpg,1
data\train\1526.jpg,2
data\train\1527.jpg,1
data\train\1528.jpg,2
data\train\1529.jpg,1
data\train\153.jpg,4
data\train\1530.jpg,0
data\train\1531.jpg,4
data\train\1532.jpg,3
data\train\1533.jpg,4
data\train\1534.jpg,4
data\train\1535.jpg,0
data\train\1536.jpg,1
data\train\1537.jpg,1
data\train\1538.jpg,4
data\train\1539.jpg,1
data\train\154.jpg,2
data\train\1540.jpg,4
data\train\1541.jpg,3
data\train\1542.jpg,1
data\train\1543.jpg,4
data\train\1544.jpg,0
data\train\1545.jpg,3
data\train\1546.jpg,1
data\train\1547.jpg,4
data\train\1548.jpg,1
data\train\1549.jpg,3
data\train\155.jpg,1
data\train\1550.jpg,2
data\train\1551.jpg,3
data\train\1552.jpg,4
data\train\1553.jpg,2
data\train\1554.jpg,2
data\train\1555.jpg,3
data\train\1556.jpg,0
data\train\1557.jpg,4
data\train\1558.jpg,4
data\train\1559.jpg,3
data\train\156.jpg,2
data\train\1560.jpg,4
data\train\1561.jpg,2
data\train\1562.jpg,0
data\train\1563.jpg,2
data\train\1564.jpg,3
data\train\1565.jpg,0
data\train\1566.jpg,0
data\train\1567.jpg,1
data\train\1568.jpg,1
data\train\1569.jpg,4
data\train\157.jpg,0
data\train\1570.jpg,3
data\train\1571.jpg,3
data\train\1572.jpg,1
data\train\1573.jpg,1
data\train\1574.jpg,4
data\train\1575.jpg,3
data\train\1576.jpg,3
data\train\1577.jpg,4
data\train\1578.jpg,4
data\train\1579.jpg,0
data\train\158.jpg,2
data\train\1580.jpg,0
data\train\1581.jpg,2
data\train\1582.jpg,1
data\train\1583.jpg,3
data\train\1584.jpg,3
data\train\1585.jpg,1
data\train\1586.jpg,1
data\train\1587.jpg,3
data\train\1588.jpg,4
data\train\1589.jpg,1
data\train\159.jpg,3
data\train\1590.jpg,1
data\train\1591.jpg,3
data\train\1592.jpg,2
data\train\1593.jpg,1
data\train\1594.jpg,3
data\train\1595.jpg,1
data\train\1596.jpg,4
data\train\1597.jpg,0
data\train\1598.jpg,1
data\train\1599.jpg,1
data\train\16.jpg,0
data\train\160.jpg,2
data\train\1600.jpg,4
data\train\1601.jpg,0
data\train\1602.jpg,4
data\train\1603.jpg,1
data\train\1604.jpg,2
data\train\1605.jpg,2
data\train\1606.jpg,4
data\train\1607.jpg,1
data\train\1608.jpg,4
data\train\1609.jpg,4
data\train\161.jpg,0
data\train\1610.jpg,3
data\train\1611.jpg,0
data\train\1612.jpg,3
data\train\1613.jpg,2
data\train\1614.jpg,0
data\train\1615.jpg,0
data\train\1616.jpg,3
data\train\1617.jpg,3
data\train\1618.jpg,3
data\train\1619.jpg,4
data\train\162.jpg,2
data\train\1620.jpg,2
data\train\1621.jpg,4
data\train\1622.jpg,0
data\train\1623.jpg,2
data\train\1624.jpg,1
data\train\1625.jpg,1
data\train\1626.jpg,2
data\train\1627.jpg,0
data\train\1628.jpg,3
data\train\1629.jpg,3
data\train\163.jpg,2
data\train\1630.jpg,0
data\train\1631.jpg,3
data\train\1632.jpg,1
data\train\1633.jpg,3
data\train\1634.jpg,2
data\train\1635.jpg,0
data\train\1636.jpg,4
data\train\1637.jpg,2
data\train\1638.jpg,2
data\train\1639.jpg,3
data\train\164.jpg,3
data\train\1640.jpg,4
data\train\1641.jpg,0
data\train\1642.jpg,0
data\train\1643.jpg,0
data\train\1644.jpg,1
data\train\1645.jpg,2
data\train\1646.jpg,0
data\train\1647.jpg,1
data\train\1648.jpg,3
data\train\1649.jpg,1
data\train\165.jpg,3
data\train\1650.jpg,3
data\train\1651.jpg,3
data\train\1652.jpg,1
data\train\1653.jpg,1
data\train\1654.jpg,4
data\train\1655.jpg,2
data\train\1656.jpg,2
data\train\1657.jpg,2
data\train\1658.jpg,4
data\train\1659.jpg,3
